sub	trn	start1	end1	start2	end2
LNC06	2	90	263	268	462
	3	0	210	218	389
	4	119	279	285	481
	5	0	198	206	387
LNC12	2	49	217	248	417
	3	50	227	228	422
	4	40	214	240	413
	5	73	247	253	453
LNC16	2	43	211	248	412
	3	27	202	206	406
	4	4	172	197	372
	5	40	214	218	419
LNC17	2	42	214	218	412
	3	0	195	199	382
	4	38	217	223	417
	5	0	204	207	390
LNC20	2	45	216	239	412
	3	36	211	218	417
	4	43	222	240	417
	5	44	218	222	421
LNC21	2	77	250	268	448
	3	42	216	221	419
	4	64	243	258	444
	5	65	245	248	450
LNC22	2	15	215	222	388
	3	45	218	224	420
	4	99	272	279	476
	5	62	216	222	418
LNC23	2	67	248	252	449
	3	34	211	216	416
	4	43	215	224	416
	5	38	215	218	414
LNC24	2	0	237	244	436
	3	0	88	90	256
	4	0	195	197	387
	
